
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   baro_,_inHG |   edens,_part |   vacum,ratio |   vacum,ratio |   _elec,ratio |   _elec,ratio |   _AHRS,ratio |   _AHRS,ratio |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
      0.00000 |       1.04765 |       1.04857 |       1.04853 |       0.00000 |       1.20667 |       1.20667 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.86049 |      14.98225 |      14.98228 |       0.99826 |     661.39728 |       0.00372 |      32.14646 |      29.86000 |       0.99794 |       1.66713 |       1.66713 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      43.32122 |       0.07335 |       1.00000 |     -47.82874 |     -37.50000 |     -74.00000 | 
      0.00000 |       2.28609 |       2.28809 |       2.19961 |       0.00000 |       2.63309 |       2.63309 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.86019 |      14.98171 |      14.98230 |       0.99825 |     661.39667 |       0.01771 |      32.14645 |      29.86000 |       0.99707 |       1.61368 |       1.61368 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      43.64699 |       0.39915 |       1.00000 |     -46.20473 |     -37.50000 |     -74.00000 | 
      0.00000 |       2.04548 |       2.04729 |       2.04108 |       0.00000 |       2.35598 |       2.35598 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85957 |      14.98057 |      14.98117 |       0.99823 |     661.39532 |       0.01418 |      32.14645 |      29.86000 |       0.99702 |       1.55357 |       1.55357 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.17592 |       0.92823 |       1.00000 |     -42.74513 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.93689 |       0.93773 |       0.93768 |       0.00000 |       1.07912 |       1.07912 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85926 |      14.97999 |      14.98014 |       0.99822 |     661.39465 |       0.00297 |      32.14645 |      29.86000 |       0.99760 |       1.51287 |       1.51287 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.43734 |       1.18985 |       1.00000 |     -39.32372 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.30576 |       0.30603 |       0.30598 |       0.00000 |       0.35217 |       0.35217 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85918 |      14.97985 |      14.97987 |       0.99822 |     661.39453 |       0.00032 |      32.14645 |      29.86000 |       0.99805 |       1.48459 |       1.48459 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.48489 |       1.23762 |       1.00000 |     -36.43375 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.89083 |       0.89162 |       0.89140 |       0.00000 |       1.02606 |       1.02606 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85925 |      14.97999 |      14.98006 |       0.99822 |     661.39465 |       0.00269 |      32.14645 |      29.86000 |       0.99777 |       1.45777 |       1.45777 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.39502 |       1.14778 |       1.00000 |     -33.28345 |     -37.50000 |     -74.00000 | 
      0.00000 |       1.12384 |       1.12484 |       1.12453 |       0.00000 |       1.29444 |       1.29444 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85942 |      14.98029 |      14.98045 |       0.99823 |     661.39502 |       0.00428 |      32.14645 |      29.86000 |       0.99760 |       1.43553 |       1.43553 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.23781 |       0.99055 |       1.00000 |     -30.38142 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.86697 |       0.86773 |       0.86754 |       0.00000 |       0.99857 |       0.99857 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85963 |      14.98069 |      14.98079 |       0.99823 |     661.39551 |       0.00255 |      32.14645 |      29.86000 |       0.99771 |       1.41151 |       1.41151 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.04552 |       0.79830 |       1.00000 |     -26.97400 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.35302 |       0.35333 |       0.35329 |       0.00000 |       0.40661 |       0.40661 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85976 |      14.98092 |      14.98095 |       0.99824 |     661.39575 |       0.00042 |      32.14645 |      29.86000 |       0.99800 |       1.39155 |       1.39155 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      43.93938 |       0.69230 |       1.00000 |     -23.94917 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.27285 |       0.27309 |       0.27308 |       0.00000 |       0.31427 |       0.31427 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85978 |      14.98096 |      14.98096 |       0.99824 |     661.39581 |       0.00025 |      32.14645 |      29.86000 |       0.99810 |       1.37543 |       1.37543 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      43.93057 |       0.68386 |       1.00000 |     -21.40238 |     -37.50000 |     -74.00000 | 
